L nu  M(finest)    h     a0     time    error
1  4         80 1.10  8.646    1.490 5.759e-04
1  4         84 1.05  8.336    1.250 4.993e-04
1  4         90 0.98  7.915    1.325 6.079e-04
1  4         96 0.92  7.541    1.215 5.594e-04
1  4        100 0.88  7.314    1.199 5.401e-04
1  6         80 1.10  6.496    1.213 2.797e-04
1  6         84 1.05  6.237    1.004 2.778e-04
1  6         90 0.98  5.889    1.007 2.460e-04
1  6         96 0.92  5.580    1.041 2.518e-04
1  6        100 0.88  5.394    0.995 2.485e-04
2  4         40 2.20 14.541    5.771 1.723e-02
2  4         42 2.10 14.019    5.461 1.798e-02
2  4         48 1.83 12.683    4.586 1.985e-02
