   N   M       a0 nu      error
 300  24    9.000  4  2.537e-04
 300  24    9.000  6  1.415e-05
 300  24    9.000  8  1.723e-06
 300  24    9.000 10  3.822e-07
 300  24   10.000  4  1.706e-04
 300  24   10.000  6  7.225e-06
 300  24   10.000  8  6.577e-07
 300  24   10.000 10  1.229e-07
 300  24   11.000  4  1.159e-04
 300  24   11.000  6  4.151e-06
 300  24   11.000  8  3.237e-07
 300  24   11.000 10  5.247e-08
 300  27    9.000  4  1.853e-04
 300  27    9.000  6  8.639e-06
 300  27    9.000  8  9.109e-07
 300  27    9.000 10  1.612e-07
 300  27   10.000  4  1.280e-04
 300  27   10.000  6  4.581e-06
 300  27   10.000  8  3.497e-07
 300  27   10.000 10  4.635e-08
 300  27   11.000  4  8.182e-05
 300  27   11.000  6  2.325e-06
 300  27   11.000  8  1.562e-07
 300  27   11.000 10  2.071e-08
 300  30    9.000  4  1.267e-04
 300  30    9.000  6  4.574e-06
 300  30    9.000  8  3.947e-07
 300  30    9.000 10  6.065e-08
 300  30   10.000  4  8.284e-05
 300  30   10.000  6  2.333e-06
 300  30   10.000  8  1.450e-07
 300  30   10.000 10  1.577e-08
 300  30   11.000  4  5.357e-05
 300  30   11.000  6  1.228e-06
 300  30   11.000  8  6.908e-08
 300  30   11.000 10  7.446e-09
 300  32    9.000  4  1.019e-04
 300  32    9.000  6  3.326e-06
 300  32    9.000  8  2.564e-07
 300  32    9.000 10  3.459e-08
 300  32   10.000  4  7.016e-05
 300  32   10.000  6  1.735e-06
 300  32   10.000  8  9.334e-08
 300  32   10.000 10  9.023e-09
 300  32   11.000  4  4.253e-05
 300  32   11.000  6  8.801e-07
 300  32   11.000  8  4.507e-08
 300  32   11.000 10  4.170e-09
 300  35    9.000  4  7.972e-05
 300  35    9.000  6  2.132e-06
 300  35    9.000  8  1.327e-07
 300  35    9.000 10  1.480e-08
 300  35   10.000  4  5.342e-05
 300  35   10.000  6  1.082e-06
 300  35   10.000  8  4.976e-08
 300  35   10.000 10  4.146e-09
 300  35   11.000  4  3.234e-05
 300  35   11.000  6  5.730e-07
 300  35   11.000  8  2.469e-08
 300  35   11.000 10  1.860e-09
 600  24    9.000  4  2.125e-04
 600  24    9.000  6  1.157e-05
 600  24    9.000  8  1.380e-06
 600  24    9.000 10  2.924e-07
 600  24   10.000  4  1.350e-04
 600  24   10.000  6  5.759e-06
 600  24   10.000  8  5.392e-07
 600  24   10.000 10  9.712e-08
 600  24   11.000  4  9.852e-05
 600  24   11.000  6  3.455e-06
 600  24   11.000  8  2.682e-07
 600  24   11.000 10  4.004e-08
 600  27    9.000  4  1.511e-04
 600  27    9.000  6  6.822e-06
 600  27    9.000  8  6.766e-07
 600  27    9.000 10  1.129e-07
 600  27   10.000  4  1.004e-04
 600  27   10.000  6  3.449e-06
 600  27   10.000  8  2.611e-07
 600  27   10.000 10  3.679e-08
 600  27   11.000  4  7.179e-05
 600  27   11.000  6  2.092e-06
 600  27   11.000  8  1.389e-07
 600  27   11.000 10  1.682e-08
 600  30    9.000  4  1.027e-04
 600  30    9.000  6  3.601e-06
 600  30    9.000  8  2.940e-07
 600  30    9.000 10  4.243e-08
 600  30   10.000  4  6.766e-05
 600  30   10.000  6  1.820e-06
 600  30   10.000  8  1.118e-07
 600  30   10.000 10  1.264e-08
 600  30   11.000  4  4.805e-05
 600  30   11.000  6  1.104e-06
 600  30   11.000  8  5.974e-08
 600  30   11.000 10  5.895e-09
 600  32    9.000  4  8.123e-05
 600  32    9.000  6  2.503e-06
 600  32    9.000  8  1.813e-07
 600  32    9.000 10  2.352e-08
 600  32   10.000  4  5.320e-05
 600  32   10.000  6  1.276e-06
 600  32   10.000  8  7.047e-08
 600  32   10.000 10  6.990e-09
 600  32   11.000  4  3.927e-05
 600  32   11.000  6  7.923e-07
 600  32   11.000  8  3.785e-08
 600  32   11.000 10  3.285e-09
 600  35    9.000  4  6.091e-05
 600  35    9.000  6  1.536e-06
 600  35    9.000  8  9.237e-08
 600  35    9.000 10  1.008e-08
 600  35   10.000  4  4.072e-05
 600  35   10.000  6  8.255e-07
 600  35   10.000  8  3.818e-08
 600  35   10.000 10  3.148e-09
 600  35   11.000  4  2.869e-05
 600  35   11.000  6  4.911e-07
 600  35   11.000  8  1.963e-08
 600  35   11.000 10  1.380e-09
 900  24    9.000  4  2.163e-04
 900  24    9.000  6  1.173e-05
 900  24    9.000  8  1.366e-06
 900  24    9.000 10  2.805e-07
 900  24   10.000  4  1.368e-04
 900  24   10.000  6  5.875e-06
 900  24   10.000  8  5.496e-07
 900  24   10.000 10  9.807e-08
 900  24   11.000  4  9.214e-05
 900  24   11.000  6  3.316e-06
 900  24   11.000  8  2.628e-07
 900  24   11.000 10  4.018e-08
 900  27    9.000  4  1.525e-04
 900  27    9.000  6  6.700e-06
 900  27    9.000  8  6.368e-07
 900  27    9.000 10  1.029e-07
 900  27   10.000  4  9.795e-05
 900  27   10.000  6  3.342e-06
 900  27   10.000  8  2.490e-07
 900  27   10.000 10  3.475e-08
 900  27   11.000  4  6.612e-05
 900  27   11.000  6  1.918e-06
 900  27   11.000  8  1.255e-07
 900  27   11.000 10  1.537e-08
 900  30    9.000  4  1.010e-04
 900  30    9.000  6  3.476e-06
 900  30    9.000  8  2.758e-07
 900  30    9.000 10  3.863e-08
 900  30   10.000  4  6.507e-05
 900  30   10.000  6  1.754e-06
 900  30   10.000  8  1.066e-07
 900  30   10.000 10  1.200e-08
 900  30   11.000  4  4.401e-05
 900  30   11.000  6  1.020e-06
 900  30   11.000  8  5.562e-08
 900  30   11.000 10  5.497e-09
 900  32    9.000  4  8.331e-05
 900  32    9.000  6  2.540e-06
 900  32    9.000  8  1.803e-07
 900  32    9.000 10  2.293e-08
 900  32   10.000  4  5.227e-05
 900  32   10.000  6  1.241e-06
 900  32   10.000  8  6.725e-08
 900  32   10.000 10  6.687e-09
 900  32   11.000  4  3.547e-05
 900  32   11.000  6  7.278e-07
 900  32   11.000  8  3.544e-08
 900  32   11.000 10  3.098e-09
 900  35    9.000  4  6.026e-05
