                data     N  A  nbar  M       a0 nu       true        est |log(true)-log(est)|
 ../../data/spceN300   300 20 12.00 12   10.000  4  9.023e-04  1.480e-03 0.495
 ../../data/spceN300   300 20 12.00 12   10.000  6  1.405e-04  2.574e-04 0.605
 ../../data/spceN300   300 20 12.00 12   10.000  8  5.820e-05  1.019e-04 0.560
 ../../data/spceN300   300 20 12.00 12   10.000 10  5.053e-05  7.599e-05 0.408
 ../../data/spceN300   300 20 14.00 12   11.667  4  5.187e-04  7.986e-04 0.431
 ../../data/spceN300   300 20 14.00 12   11.667  6  5.643e-05  1.021e-04 0.592
 ../../data/spceN300   300 20 14.00 12   11.667  8  1.479e-05  2.969e-05 0.697
 ../../data/spceN300   300 20 14.00 12   11.667 10  9.858e-06  1.627e-05 0.501
 ../../data/spceN300   300 20 16.00 12   13.333  4  2.715e-04  4.681e-04 0.545
 ../../data/spceN300   300 20 16.00 12   13.333  6  2.406e-05  4.580e-05 0.644
 ../../data/spceN300   300 20 16.00 12   13.333  8  5.026e-06  1.020e-05 0.708
 ../../data/spceN300   300 20 16.00 12   13.333 10  2.246e-06  4.279e-06 0.645
 ../../data/spceN300   300 20 18.00 12   15.000  4  1.777e-04  2.923e-04 0.497
 ../../data/spceN300   300 20 18.00 12   15.000  6  1.256e-05  2.259e-05 0.587
 ../../data/spceN300   300 20 18.00 12   15.000  8  2.048e-06  3.976e-06 0.664
 ../../data/spceN300   300 20 18.00 12   15.000 10  6.815e-07  1.318e-06 0.659
 ../../data/spceN300   300 20 20.00 12   16.667  4  1.180e-04  1.918e-04 0.486
 ../../data/spceN300   300 20 20.00 12   16.667  6  6.689e-06  1.201e-05 0.585
 ../../data/spceN300   300 20 20.00 12   16.667  8  9.141e-07  1.711e-06 0.627
 ../../data/spceN300   300 20 20.00 12   16.667 10  2.492e-07  4.595e-07 0.612
 ../../data/spceN300   300 20 22.00 12   18.333  4  8.460e-05  1.310e-04 0.437
 ../../data/spceN300   300 20 22.00 12   18.333  6  3.944e-06  6.778e-06 0.541
 ../../data/spceN300   300 20 22.00 12   18.333  8  4.355e-07  7.984e-07 0.606
 ../../data/spceN300   300 20 22.00 12   18.333 10  9.665e-08  1.771e-07 0.606
 ../../data/spceN600   600 20 12.00 16    7.500  4  1.501e-03  1.395e-03 0.073
 ../../data/spceN600   600 20 12.00 16    7.500  6  2.760e-04  2.426e-04 0.129
 ../../data/spceN600   600 20 12.00 16    7.500  8  1.147e-04  9.607e-05 0.177
 ../../data/spceN600   600 20 12.00 16    7.500 10  8.363e-05  7.164e-05 0.155
 ../../data/spceN600   600 20 14.00 16    8.750  4  7.807e-04  7.530e-04 0.036
 ../../data/spceN600   600 20 14.00 16    8.750  6  1.010e-04  9.622e-05 0.048
 ../../data/spceN600   600 20 14.00 16    8.750  8  2.986e-05  2.799e-05 0.065
 ../../data/spceN600   600 20 14.00 16    8.750 10  1.773e-05  1.534e-05 0.145
