Before calculating fudge factor
                data     N  A  nbar  M       a0 nu       true        est |log(true)-log(est)|
            spceN300   300 20 12.00 12   10.000  4  9.023e-04  1.793e-03 0.687
            spceN300   300 20 12.00 12   10.000  6  1.405e-04  4.981e-05 1.037
            spceN300   300 20 12.00 12   10.000  8  5.820e-05  1.384e-06 3.739
            spceN300   300 20 12.00 12   10.000 10  5.053e-05  3.843e-08 7.182
            spceN300   300 20 14.00 12   11.667  4  5.187e-04  9.678e-04 0.624
            spceN300   300 20 14.00 12   11.667  6  5.643e-05  1.975e-05 1.050
            spceN300   300 20 14.00 12   11.667  8  1.479e-05  4.031e-07 3.603
            spceN300   300 20 14.00 12   11.667 10  9.858e-06  8.227e-09 7.089
            spceN300   300 20 16.00 12   13.333  4  2.715e-04  5.673e-04 0.737
            spceN300   300 20 16.00 12   13.333  6  2.406e-05  8.865e-06 0.998
            spceN300   300 20 16.00 12   13.333  8  5.026e-06  1.385e-07 3.591
            spceN300   300 20 16.00 12   13.333 10  2.246e-06  2.164e-09 6.945
            spceN300   300 20 18.00 12   15.000  4  1.777e-04  3.542e-04 0.690
            spceN300   300 20 18.00 12   15.000  6  1.256e-05  4.373e-06 1.055
            spceN300   300 20 18.00 12   15.000  8  2.048e-06  5.398e-08 3.636
            spceN300   300 20 18.00 12   15.000 10  6.815e-07  6.665e-10 6.930
            spceN300   300 20 20.00 12   16.667  4  1.180e-04  2.324e-04 0.678
            spceN300   300 20 20.00 12   16.667  6  6.689e-06  2.324e-06 1.057
            spceN300   300 20 20.00 12   16.667  8  9.141e-07  2.324e-08 3.672
            spceN300   300 20 20.00 12   16.667 10  2.492e-07  2.324e-10 6.978
            spceN300   300 20 22.00 12   18.333  4  8.460e-05  1.587e-04 0.629
            spceN300   300 20 22.00 12   18.333  6  3.944e-06  1.312e-06 1.101
            spceN300   300 20 22.00 12   18.333  8  4.355e-07  1.084e-08 3.693
            spceN300   300 20 22.00 12   18.333 10  9.665e-08  8.959e-11 6.984
            spceN600   600 20 12.00 16    7.500  4  1.501e-03  1.691e-03 0.119
            spceN600   600 20 12.00 16    7.500  6  2.760e-04  4.696e-05 1.771
            spceN600   600 20 12.00 16    7.500  8  1.147e-04  1.304e-06 4.477
            spceN600   600 20 12.00 16    7.500 10  8.363e-05  3.623e-08 7.744
            spceN600   600 20 14.00 16    8.750  4  7.807e-04  9.125e-04 0.156
            spceN600   600 20 14.00 16    8.750  6  1.010e-04  1.862e-05 1.691
            spceN600   600 20 14.00 16    8.750  8  2.986e-05  3.800e-07 4.364
            spceN600   600 20 14.00 16    8.750 10  1.773e-05  7.756e-09 7.734
            spceN600   600 20 16.00 16   10.000  4  4.354e-04  5.349e-04 0.206
            spceN600   600 20 16.00 16   10.000  6  4.195e-05  8.358e-06 1.613
            spceN600   600 20 16.00 16   10.000  8  9.022e-06  1.306e-07 4.235
            spceN600   600 20 16.00 16   10.000 10  4.265e-06  2.040e-09 7.645
            spceN600   600 20 18.00 16   11.250  4  2.766e-04  3.339e-04 0.188
            spceN600   600 20 18.00 16   11.250  6  2.185e-05  4.123e-06 1.668
            spceN600   600 20 18.00 16   11.250  8  3.537e-06  5.090e-08 4.241
            spceN600   600 20 18.00 16   11.250 10  1.167e-06  6.283e-10 7.527
            spceN600   600 20 20.00 16   12.500  4  1.856e-04  2.191e-04 0.166
            spceN600   600 20 20.00 16   12.500  6  1.216e-05  2.191e-06 1.714
            spceN600   600 20 20.00 16   12.500  8  1.692e-06  2.191e-08 4.347
            spceN600   600 20 20.00 16   12.500 10  4.093e-07  2.191e-10 7.533
            spceN600   600 20 22.00 16   13.750  4  1.316e-04  1.496e-04 0.128
            spceN600   600 20 22.00 16   13.750  6  7.131e-06  1.237e-06 1.752
            spceN600   600 20 22.00 16   13.750  8  8.477e-07  1.022e-08 4.418
            spceN600   600 20 22.00 16   13.750 10  1.712e-07  8.447e-11 7.614
            spceN900   900 20 12.00 18    6.667  4  1.653e-03  1.553e-03 0.062
            spceN900   900 20 12.00 18    6.667  6  3.123e-04  4.313e-05 1.980
            spceN900   900 20 12.00 18    6.667  8  1.335e-04  1.198e-06 4.713
            spceN900   900 20 12.00 18    6.667 10  1.037e-04  3.328e-08 8.045
            spceN900   900 20 14.00 18    7.778  4  8.841e-04  8.382e-04 0.053
            spceN900   900 20 14.00 18    7.778  6  1.207e-04  1.711e-05 1.954
            spceN900   900 20 14.00 18    7.778  8  3.781e-05  3.491e-07 4.685
            spceN900   900 20 14.00 18    7.778 10  2.233e-05  7.124e-09 8.050
            spceN900   900 20 16.00 18    8.889  4  5.149e-04  4.913e-04 0.047
            spceN900   900 20 16.00 18    8.889  6  5.213e-05  7.677e-06 1.915
            spceN900   900 20 16.00 18    8.889  8  1.222e-05  1.200e-07 4.623
            spceN900   900 20 16.00 18    8.889 10  5.726e-06  1.874e-09 8.025
            spceN900   900 20 18.00 18   10.000  4  3.079e-04  3.067e-04 0.004
            spceN900   900 20 18.00 18   10.000  6  2.440e-05  3.787e-06 1.863
            spceN900   900 20 18.00 18   10.000  8  4.375e-06  4.675e-08 4.539
            spceN900   900 20 18.00 18   10.000 10  1.618e-06  5.772e-10 7.939
