nu   M    a0  timeMSM   errMSM  timePME   errPME
 4 108  7.00    2.369 4.236e-04    2.713 4.442e-04
 4  90  7.90    2.236 6.141e-04    2.596 3.972e-04
 4  80  8.55    2.157 5.553e-04    2.530 4.614e-04
 4  75  8.93    2.133 8.336e-04    2.522 6.431e-04
 4  72  9.17    2.161 7.011e-04    2.567 9.554e-04
 4  70  9.35    2.184 6.033e-04    2.620 1.097e-03
 4  64  9.92    2.259 6.348e-04    2.763 8.880e-04
 4  60 10.36    2.362 5.196e-04    2.885 4.235e-04
 4  50 11.70    2.603 4.843e-04    3.253 7.421e-04
 4  44 12.74    2.929 6.082e-04    3.758 8.434e-04
 6  90  6.00    1.415 2.103e-04    1.577 8.387e-04
 6  80  6.59    1.331 2.475e-04    1.493 8.476e-04
 6  75  6.94    1.350 2.705e-04    1.538 7.975e-04
 6  72  7.17    1.387 3.566e-04    1.580 6.953e-04
 6  70  7.34    1.412 3.964e-04    1.609 6.026e-04
 6  64  7.88    1.470 3.598e-04    1.709 4.658e-04
 6  60  8.30    1.555 2.825e-04    1.819 3.130e-04
 6  50  9.60    1.827 3.113e-04    2.183 4.633e-04
 6  44 10.64    2.156 1.643e-04    2.605 1.013e-03
